Product Code,Suppler TIN,Supplier Name,Qty,Unit Price
5226894149898110000,,Opening Stock,100,1080
5226648048053950000,,Opening Stock,100,1080
5226648048053950000,,Opening Stock,100,1080
5226634982721490000,,Opening Stock,100,1080
5226634982721490000,,Opening Stock,100,1080
5141890327593780000,,Opening Stock,100,1080
5141890327593780000,,Opening Stock,100,1080
5141113627637350000,,Opening Stock,100,1080
5141113627637350000,,Opening Stock,100,1080
4953145539777430000,,Opening Stock,100,1080
4953145539777430000,,Opening Stock,100,1080
4940397415040450000,,Opening Stock,100,1080
4940397415040450000,,Opening Stock,100,1080
4938288465922920000,,Opening Stock,100,1080
4938288465922920000,,Opening Stock,100,1080
4938284772192320000,,Opening Stock,100,1080
4938284772192320000,,Opening Stock,100,1080
4938281649709160000,,Opening Stock,100,1080
4938281649709160000,,Opening Stock,100,1080
4938277354674750000,,Opening Stock,100,1080
4938277354674750000,,Opening Stock,100,1080
4938267308653970000,,Opening Stock,100,1080
4938267308653970000,,Opening Stock,100,1080
4919591214874790000,,Opening Stock,100,1080
4919591214874790000,,Opening Stock,100,1080
4873929201096230000,,Opening Stock,100,1080
4873929201096230000,,Opening Stock,100,1080
4799560034167980000,,Opening Stock,100,1080
4799560034167980000,,Opening Stock,100,1080
4782421230130990000,,Opening Stock,100,1080
4782421230130990000,,Opening Stock,100,1080
4782417158460050000,,Opening Stock,100,1080
4782417158460050000,,Opening Stock,100,1080
4782404200493380000,,Opening Stock,100,1080
4782404200493380000,,Opening Stock,100,1080
4763527811124070000,,Opening Stock,100,1080
4763527811124070000,,Opening Stock,100,1080
4763515630529710000,,Opening Stock,100,1080
4763515630529710000,,Opening Stock,100,1080
4763465671453340000,,Opening Stock,100,1080
4763465671453340000,,Opening Stock,100,1080
4755726689621670000,,Opening Stock,100,1080
4755726689621670000,,Opening Stock,100,1080
4748059180265280000,,Opening Stock,100,1080
4748059180265280000,,Opening Stock,100,1080
4748053588167530000,,Opening Stock,100,1080
4748053588167530000,,Opening Stock,100,1080
4748048429861470000,,Opening Stock,100,1080
4748048429861470000,,Opening Stock,100,1080
4748036064583520000,,Opening Stock,100,1080
4748036064583520000,,Opening Stock,100,1080
4721777829509760000,,Opening Stock,100,1080
4721777829509760000,,Opening Stock,100,1080
4721775432876070000,,Opening Stock,100,1080
4721775432876070000,,Opening Stock,100,1080
4721768483568650000,,Opening Stock,100,1080
4721768483568650000,,Opening Stock,100,1080
4721759047416450000,,Opening Stock,100,1080
4721759047416450000,,Opening Stock,100,1080
4721240816897390000,,Opening Stock,100,1080
4721240816897390000,,Opening Stock,100,1080
4711753792570160000,,Opening Stock,100,1080
4711753792570160000,,Opening Stock,100,1080
4671119204693210000,,Opening Stock,100,1080
4671119204693210000,,Opening Stock,100,1080
4670679410603360000,,Opening Stock,100,1080
4670679410603360000,,Opening Stock,100,1080
4670601812808470000,,Opening Stock,100,1080
4670601812808470000,,Opening Stock,100,1080
4670469729234620000,,Opening Stock,100,1080
4670469729234620000,,Opening Stock,100,1080
4670456792734400000,,Opening Stock,100,1080
4670456792734400000,,Opening Stock,100,1080
4595831426049280000,,Opening Stock,100,1080
4595831426049280000,,Opening Stock,100,1080
4581478160742120000,,Opening Stock,100,1080
4581478160742120000,,Opening Stock,100,1080
4581453481801320000,,Opening Stock,100,1080
4581453481801320000,,Opening Stock,100,1080
4530116473158270000,,Opening Stock,100,1080
4530116473158270000,,Opening Stock,100,1080
4477864583205130000,,Opening Stock,100,1080
4477864583205130000,,Opening Stock,100,1080
4429696903440930000,,Opening Stock,100,1080
4429696903440930000,,Opening Stock,100,1080
4322095143197770000,,Opening Stock,100,1080
4322095143197770000,,Opening Stock,100,1080
4322049577621290000,,Opening Stock,100,1080
4322049577621290000,,Opening Stock,100,1080
4322032711209220000,,Opening Stock,100,1080
4322032711209220000,,Opening Stock,100,1080
4306389345486410000,,Opening Stock,100,1080
4306389345486410000,,Opening Stock,100,1080
4306378784119880000,,Opening Stock,100,1080
4306378784119880000,,Opening Stock,100,1080
4306368733837690000,,Opening Stock,100,1080
4306368733837690000,,Opening Stock,100,1080
